Focus,Nodes,Relationship,Distinct Labels,Distinct RelTypes,Average of Total Degrees,Average of Focus Degrees,Patterns,Total All Matches,Focus Nodes,Max Hops,Max Edges,Total Time,sup threshold,conf threshold,BiSim Checking Time,Number Of BiSim Checking Request,Number Of Real BiSim Checking,Creation Of New Lattice Node,Creation/Checking Of Dangling Nodes,Number of Dangling Nodes,deltaT,Num. of support computations,TemporalMatchSet computational time,fixed LHS,RHS trials,Pruning for intersection,totalStopDueToSupportOrConfidenceThreshold,lhsExpansionDuration,rhsExpansionDuration,num Of TotalRules Generated,num Of Maximal Rules Generated,num of gtarVerification,gtarVerificationDuration,checkIfSubPatternDuration,minTimestamp,maxTimestamp,quality saving intervals,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,16295.291685,0.5,0.5,2.4296879999999996,92,21,38.636258999999995,48.135056,1,100,17,16171.078301000001,2,4,0,0,16056.222803999999,3.949009,1,1,1,1.354925,0.028142,0,199,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,7,2405,633,2,3,239.435295,0.5,0.5,0.36364,20,2,32.888774,0.0,0,100,5,122.036808,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,555,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,7,2404,633,2,3,167.488722,0.5,0.5,0.33617899999999995,20,2,22.345124000000002,0.0,0,100,5,119.45133,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,569,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,7,2396,633,2,3,193.875564,0.5,0.5,0.31256999999999996,20,2,16.895961,0.0,0,100,5,142.01645,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,198,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,7,2404,633,2,3,209.092996,0.5,0.5,0.37992099999999995,20,2,11.211658,0.0,0,1,5,178.598433,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,198,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,21,3756,633,2,3,682.068688,0.1,0.1,1.7588589999999997,211,15,24.558391000000004,0.0,0,1,19,623.582034,2,4,0,2,495.294632,3.253266,2,0,2,0.9635180000000001,0.015224,0,198,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,7,2378,633,2,3,267.33602,0.5,0.5,0.353861,20,2,68.904395,0.0,0,100,5,175.89738200000002,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,198,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,7,2405,633,2,3,164.433509,0.5,0.5,0.395061,20,2,11.264599,0.0,0,100,5,133.166507,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,2147483647,1000,
Entity|name:american,1041674,1541617,4,5,1.4799419012090156,2.227488151658768,19,4093,633,2,3,914.729135,0.5,0.5,1.602821,99,23,25.872645000000002,71.617604,1,100,17,784.7413360000002,2,4,0,0,701.1760840000001,4.663634,1,1,1,1.34466,0.037064,0,1,1000,
Author|Name:Fei,4311990,11031806,3,2,2.5584025009334437,0.0,2,465,465,2,3,128.7864,0.5,0.5,0.0,0,0,0.0,0.0,0,100,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1801,2147483647,1000,
Author|Name:Fei Chiang,4311990,11031806,3,2,2.5584025009334437,0.0,2,1,1,2,3,1.143393,0.5,0.5,0.0,0,0,0.0,0.0,0,100,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1801,2147483647,1000,
Paper|node_id:3707057,4311990,11031806,3,2,2.5584025009334437,3352.0,5,3356,1,2,3,5593.094802,0.5,0.5,0.21830500000000003,6,2,1576.0930959999998,0.0,0,100,3,1583.384292,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1801,2147483647,1000,
Paper|node_id:3707057,4311990,11031806,3,2,2.5584025009334437,3352.0,5,3356,1,2,3,194.57338,0.5,0.5,0.223884,6,2,10.242426,0.0,0,1,3,170.35368499999998,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1801,2147483647,1000,
Paper|node_id:3707057,4311990,11031806,3,2,2.5584025009334437,3352.0,5,3356,1,2,3,133.864521,0.1,0.1,0.266876,6,2,15.790269,0.0,0,1,3,102.070145,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1801,2147483647,1000,
Author|Name:Fei Chiang,4311990,11031806,3,2,2.5584025009334437,0.0,2,1,1,5,10,3.71318,0.1,0.1,0.0,0,0,0.0,0.0,0,1,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1801,2147483647,1000,
